259.21	21.16 	46	17.75 	161	163	57	167.56 	170.52 	166.21 	f
256	31.36 	56	21.88 	160	164	58	165.89 	175.72 	184.20 	f
265.69	25.00 	50	18.82 	163	174	50	194.88 	174.12 	162.57 	f
285.61	29.16 	54	18.91 	169	173	69	168.00 	178.16 	183.12 	f
256	23.04 	48	18.75 	160	169	54	156.28 	165.36 	180.84 	f
259.21	32.49 	57	21.99 	161	175	64	190.38 	175.00 	168.04 	f
256	25.00 	50	19.53 	160	160	72	170.79 	168.53 	169.21 	f
278.89	28.09 	53	19.00 	167	183	61	168.28 	170.09 	159.95 	f
289	36.00 	60	20.76 	170	173	48	166.63 	171.49 	178.21 	f
262.44	25.00 	50	19.05 	162	170	56	189.68 	164.98 	166.68 	f
289	28.09 	53	18.34 	170	186	67	183.64 	161.85 	181.13 	f
268.96	26.01 	51	18.96 	164	170	70	162.26 	164.63 	155.21 	f
256	22.09 	47	18.36 	160	170	70	172.67 	171.55 	173.71 	f
268.96	33.64 	58	21.56 	164	185	67	184.51 	167.25 	164.34 	f
275.56	32.49 	57	20.69 	166	171	68	182.82 	172.71 	189.04 	f
302.76	31.36 	56	18.50 	174	170	65	173.57 	173.42 	186.75 	f
249.64	23.04 	48	19.23 	158	160	48	164.65 	170.99 	172.66 	f
249.64	25.00 	50	20.03 	158	169	57	194.02 	174.14 	165.83 	f
285.61	31.36 	56	19.61 	169	173	60	170.00 	163.84 	173.95 	f
256	32.49 	57	22.27 	160	155	65	174.32 	169.19 	161.39 	f
272.25	28.09 	53	19.47 	165	179	54	177.17 	173.98 	185.31 	f
262.44	30.25 	55	20.96 	162	170	46	168.42 	166.01 	176.95 	f
292.41	30.25 	55	18.81 	171	175	53	169.74 	174.82 	180.05 	f
249.64	22.09 	47	18.83 	158	174	65	172.62 	159.96 	163.20 	f
256	29.16 	54	21.09 	160	170	65	178.67 	165.62 	185.38 	f
249.64	22.09 	47	18.83 	158	173	66	155.37 	174.37 	164.47 	f
268.96	23.04 	48	17.85 	164	170	68.5	160.05 	180.70 	169.07 	f
249.64	27.04 	52	20.83 	158	169	77	175.02 	171.10 	185.77 	f
256	21.16 	46	17.97 	160	185	50	173.45 	169.13 	165.15 	F
272.25	24.01 	49	18.00 	165	160	63	176.58 	171.52 	189.83 	F
289	30.25 	55	19.03 	170	174	64	178.35 	167.20 	186.31 	F
256	25.00 	50	19.53 	160	170	65	162.94 	172.30 	185.94 	F
243.36	20.25 	45	18.49 	156	178	68	177.54 	168.06 	183.20 	F
265.69	25.00 	50	18.82 	163	162	67	175.95 	180.84 	166.29 	F
256	36.00 	60	23.44 	160	193	75	169.16 	167.03 	176.59 	F
265.69	30.25 	55	20.70 	163	178	55	153.25 	166.61 	187.97 	F
259.21	22.09 	47	18.13 	161	175	66	181.17 	173.28 	169.77 	F
256	22.09 	47	18.36 	160	167	47	141.39 	175.11 	192.56 	F
256	22.09 	47	18.36 	160	175	45	165.34 	169.58 	167.13 	F
256	23.04 	48	18.75 	160	176	80	154.05 	182.84 	173.71 	F
285.61	23.04 	48	16.81 	169	178	70	171.31 	170.67 	158.29 	F
256	22.09 	47	18.36 	160	173	57	167.36 	171.79 	165.46 	F
240.25	36.00 	60	24.97 	155	175	73	170.36 	172.84 	167.28 	F
256	36.00 	60	23.44 	160	168	68	163.44 	166.30 	169.63 	F
299.29	40.96 	64	21.38 	173	170	46	186.05 	174.46 	157.92 	F
256	44.89 	67	26.17 	160	162	60	172.69 	168.63 	157.99 	F
240.25	30.25 	55	22.89 	155	180	62	182.68 	172.78 	168.90 	F
256	25.00 	50	19.53 	160	162	69	174.11 	169.12 	164.45 	F
282.24	23.04 	48	17.01 	168	174	50	167.23 	172.52 	181.09 	F
256	20.25 	45	17.58 	160	175	75	175.79 	172.02 	168.14 	F
262.44	27.04 	52	19.81 	162	155	84	165.82 	177.25 	159.23 	F
246.49	29.16 	54	21.91 	157	170	52	169.19 	170.94 	160.01 	F
275.56	30.25 	55	19.96 	166	180	48	192.27 	170.33 	189.01 	F
262.44	18.49 	43	16.38 	162	172	60	168.55 	174.31 	184.58 	F
256	28.09 	53	20.70 	160	163	56	178.73 	170.36 	167.36 	F
265.69	23.04 	48	18.07 	163	175	90	184.79 	173.11 	170.06 	F
268.96	21.16 	46	17.10 	164	171	83	166.74 	168.02 	155.15 	F
262.44	19.36 	44	16.77 	162	172	55	167.12 	167.12 	166.55 	F
240.25	23.04 	48	19.98 	155	186	55	167.74 	174.20 	165.19 	F
299.29	29.16 	54	18.04 	173	170	60	196.25 	171.83 	177.75 	F
282.24	28.09 	53	18.78 	168	174	65	158.24 	182.14 	180.81 	F
265.69	32.49 	57	21.45 	163	190	70	158.21 	173.55 	165.52 	F
240.25	23.04 	48	19.98 	155	164	49	168.94 	165.38 	172.12 	F
240.25	16.00 	40	16.65 	155	161	85	175.25 	172.84 	184.08 	F
265.69	21.16 	46	17.31 	163	170	90	163.05 	170.77 	189.95 	F
240.25	16.81 	41	17.07 	155	175	75	171.90 	166.63 	156.89 	F
278.89	30.25 	55	19.72 	167	183	80	175.43 	171.13 	178.46 	F
268.96	30.25 	55	20.45 	164	172	62	172.76 	173.94 	163.09 	F
259.21	20.25 	45	17.36 	161	174	54	178.47 	179.20 	164.05 	F
256	36.00 	60	23.44 	160	172	77	171.82 	175.11 	174.13 	F
243.36	24.01 	49	20.13 	156	166	60	178.87 	168.59 	192.03 	F
265.69	25.00 	50	18.82 	163	176	58	168.90 	167.82 	164.93 	F
275.56	22.09 	47	17.06 	166	170	41	184.28 	175.11 	190.80 	F
282.24	32.49 	57	20.20 	168	177	66	186.30 	177.49 	165.02 	F
256	25.00 	50	19.53 	160	167	54	183.46 	172.22 	183.86 	F
265.69	22.56 	47.5	17.88 	163	180	58	165.28 	169.23 	174.98 	F
246.49	25.00 	50	20.28 	157	173	68	173.12 	165.73 	173.91 	F
265.69	26.01 	51	19.20 	163	167	63	162.03 	176.35 	183.30 	F
316.84	70.56 	84	26.51 	178	181.5	64	184.55 	170.40 	163.36 	M
299.29	44.89 	67	22.39 	173	173	67	171.15 	173.76 	164.22 	M
342.25	100.00 	100	29.22 	185	178	80	181.80 	163.85 	183.66 	M
272.25	42.25 	65	23.88 	165	170	65	178.84 	164.53 	172.86 	M
299.29	49.00 	70	23.39 	173	163	62	173.52 	167.34 	191.43 	M
316.84	38.44 	62	19.57 	178	173	80	161.91 	178.69 	165.64 	M
299.29	40.96 	64	21.38 	173	189	43	181.70 	175.07 	177.55 	M
306.25	39.06 	62.5	20.41 	175	172	70	173.23 	178.31 	186.26 	M
289	30.25 	55	19.03 	170	157	62	164.95 	173.45 	155.16 	M
289	26.01 	51	17.65 	170	178	65	161.26 	175.65 	188.54 	M
289	25.00 	50	17.30 	170	174	55	173.28 	176.18 	187.63 	M
289	33.64 	58	20.07 	170	172	65	160.19 	177.33 	168.04 	M
309.76	46.24 	68	21.95 	176	162	85	170.78 	171.16 	191.08 	M
316.84	64.00 	80	25.25 	178	169	60	172.35 	172.61 	186.79 	M
302.76	40.96 	64	21.14 	174	162	65	159.12 	172.94 	160.63 	M
306.25	36.00 	60	19.59 	175	174	72	172.34 	165.77 	184.30 	M
306.25	49.00 	70	22.86 	175	182	50	170.72 	177.77 	169.99 	M
316.84	39.69 	63	19.88 	178	169	53	172.23 	169.22 	156.54 	M
306.25	40.96 	64	20.90 	175	180	54	178.32 	173.94 	167.35 	M
306.25	67.24 	82	26.78 	175	165	65	174.38 	174.72 	192.52 	M
331.24	46.24 	68	20.53 	182	176	55	179.86 	173.03 	176.92 	M
285.61	33.64 	58	20.31 	169	175	65	168.34 	168.11 	180.14 	M
299.29	36.00 	60	20.05 	173	171	57	171.53 	166.89 	171.94 	M
289	38.44 	62	21.45 	170	156	52	176.28 	173.82 	155.72 	M
316.84	46.24 	68	21.46 	178	180	65	167.70 	176.53 	175.78 	M
316.84	72.25 	85	26.83 	178	170	78	165.66 	177.10 	186.14 	M
289	49.00 	70	24.22 	170	178	63	173.51 	166.90 	170.25 	M
299.29	42.25 	65	21.72 	173	174	64	159.72 	177.96 	190.22 	M
282.24	27.04 	52	18.42 	168	177	50	160.45 	169.94 	158.51 	M
282.24	59.29 	77	27.28 	168	165	55	166.26 	172.90 	173.97 	M
289	49.00 	70	24.22 	170	160	70	173.29 	166.80 	164.34 	M
306.25	40.96 	64	20.90 	175	170	52	167.41 	180.05 	172.08 	M
295.84	47.61 	69	23.32 	172	172	55	180.20 	164.09 	184.66 	M
306.25	49.00 	70	22.86 	175	168	48	179.40 	170.27 	155.29 	M
299.29	49.00 	70	23.39 	173	170	60	167.95 	170.23 	168.30 	M
324	64.00 	80	24.69 	180	178	50	174.43 	168.99 	166.90 	M
275.56	33.64 	58	21.05 	166	160	65	160.18 	165.47 	188.03 	M
299.29	36.00 	60	20.05 	173	173	75	177.02 	169.44 	174.65 	M
334.89	59.29 	77	22.99 	183	169	62	162.00 	176.17 	173.76 	M
302.76	42.25 	65	21.47 	174	173	64	171.21 	166.86 	191.99 	M
309.76	38.44 	62	20.02 	176	181	60	156.39 	169.84 	157.40 	M
345.96	56.25 	75	21.68 	186	171	60	170.96 	173.64 	164.02 	M
289	33.64 	58	20.07 	170	163	65	185.60 	173.27 	168.38 	M
289	42.25 	65	22.49 	170	178	60	172.70 	176.40 	169.01 	M
316.84	36.00 	60	18.94 	178	172	48	165.53 	177.90 	164.78 	M
282.24	56.25 	75	26.57 	168	168	64	157.05 	171.00 	155.69 	M
306.25	49.00 	70	22.86 	175	168	64	159.37 	174.91 	176.30 	M
292.41	42.25 	65	22.23 	171	175	85	163.72 	177.25 	161.55 	M
289	49.00 	70	24.22 	170	176	74	161.49 	171.62 	167.06 	M
289	42.25 	65	22.49 	170	176	60	172.13 	172.93 	157.76 	M
282.24	43.56 	66	23.38 	168	173	68	186.40 	175.89 	190.85 	M
306.25	46.24 	68	22.20 	175	176	50	179.18 	170.96 	166.00 	M
306.25	43.56 	66	21.55 	175	158	125	190.33 	170.71 	169.89 	M
324	42.25 	65	20.06 	180	173	56	189.95 	166.09 	168.51 	M
295.84	49.00 	70	23.66 	172	175	74	180.48 	177.30 	162.90 	M
324	43.56 	66	20.37 	180	175	55	173.42 	180.20 	169.79 	M
299.29	44.89 	67	22.39 	173	160	73	168.14 	171.38 	180.54 	M
292.41	42.25 	65	22.23 	171	175	65	168.51 	185.46 	190.84 	M
306.25	44.89 	67	21.88 	175	175	57	167.86 	173.82 	178.73 	M
302.76	38.44 	62	20.48 	174	171	50	186.19 	170.03 	167.80 	M
295.84	39.69 	63	21.30 	172	180	48	167.37 	171.45 	185.90 	M
316.84	90.25 	95	29.98 	178	180	53	180.04 	163.14 	157.70 	M
299.29	42.25 	65	21.72 	173	163	70	195.02 	170.11 	180.60 	M
272.25	38.44 	62	22.77 	165	170	77	185.77 	170.31 	169.73 	M
282.24	25.00 	50	17.72 	168	160	68	166.99 	176.68 	165.38 	M
302.76	43.56 	66	21.80 	174	162	100	167.59 	178.90 	172.21 	M
289	42.25 	65	22.49 	170	170	50	200.75 	171.41 	176.32 	M
282.24	49.00 	70	24.80 	168	181	50	163.99 	163.85 	182.10 	M
316.84	56.25 	75	23.67 	178	160	75	175.84 	173.26 	180.70 	M
327.61	33.64 	58	17.70 	181	160	88	171.22 	177.87 	163.45 	M
320.41	36.00 	60	18.73 	179	173	55	168.74 	177.61 	156.40 	M
309.76	50.41 	71	22.92 	176	155	65	177.45 	170.23 	185.77 	M
324	46.24 	68	20.99 	180	174	66	192.65 	160.36 	174.90 	M
309.76	42.25 	65	20.98 	176	178	85	164.94 	162.80 	165.65 	M
295.84	32.49 	57	19.27 	172	178	74	160.72 	168.45 	183.81 	M
306.25	36.00 	60	19.59 	175	155	82	157.40 	168.43 	191.43 	M
272.25	36.00 	60	22.04 	165	174	66	183.58 	175.26 	160.16 	M
316.84	43.56 	66	20.83 	178	178	90	167.19 	172.28 	155.31 	M
329.4225	68.89 	83	25.20 	181.5	166	70	184.50 	175.81 	166.24 	M
292.41	28.09 	53	18.13 	171	178	68	170.81 	173.13 	160.55 	M
295.84	39.69 	63	21.30 	172	164	56	182.43 	175.03 	164.32 	M
289	29.16 	54	18.69 	170	165	71	174.03 	169.20 	173.19 	M
272.25	28.09 	53	19.47 	165	178	47.5	183.31 	165.81 	191.18 	M
342.25	53.29 	73	21.33 	185	176	60	173.57 	168.17 	183.07 	M
313.29	36.00 	60	19.15 	177	165	65	186.54 	174.78 	176.53 	M
289	30.25 	55	19.03 	170	180	70	166.01 	174.05 	168.68 	M
309.76	47.61 	69	22.28 	176	173	47	178.81 	168.66 	169.51 	M
316.84	38.44 	62	19.57 	178	179	69	168.30 	165.46 	168.77 	M
331.24	39.69 	63	19.02 	182	178	71	168.40 	174.10 	159.89 	M
289	64.00 	80	27.68 	170	178	58	177.58 	165.76 	182.70 	M
324	100.00 	100	30.86 	180	178	51	176.95 	161.85 	170.82 	M
322.2025	56.25 	75	23.28 	179.5	180	62	167.77 	183.94 	155.72 	M
299.29	42.25 	65	21.72 	173	171	47	178.03 	181.73 	171.09 	M
316.84	53.29 	73	23.04 	178	178	58	167.43 	171.57 	189.47 	M
299.29	30.25 	55	18.38 	173	173	58	164.02 	169.91 	170.77 	M
324	50.41 	71	21.91 	180	163	64	165.54 	175.17 	181.30 	M
292.41	40.96 	64	21.89 	171	177	73	182.88 	172.57 	183.97 	M
316.84	47.61 	69	21.78 	178	174	63	168.58 	167.89 	169.26 	M
338.56	40.96 	64	18.90 	184	180	65	145.60 	160.27 	184.30 	M
324	64.00 	80	24.69 	180	161	73	155.33 	171.95 	173.70 	M
309.76	49.00 	70	22.60 	176	175	47	183.97 	173.28 	184.21 	M
285.61	42.25 	65	22.76 	169	172	66	166.40 	167.81 	165.36 	M
289	36.00 	60	20.76 	170	176	85	178.76 	177.36 	164.78 	M
309.76	51.84 	72	23.24 	176	173	65	182.41 	180.43 	171.84 	M
